French,English
partie,part
histoire,history
chercher,search
police,police
pensais,thought
aide,help
demande,request
mois,month
frère,brother
car,because
mettre,to put
aucun,no
laisse,leash
ville,city
chaque,each
parlé,speak
arrivé,come
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
étaient,were
attention,Warning
voici,here is
pourrais,could
affaire,case
donner,give
type,type
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
première,first
côté,side
vieux,old
tiens,here
matin,morning
point,point
venu,came
suite,after
venez,come
vers,towards
demandé,request
chambre,bedroom
mis,placed
droit,law
aujourd'hui,today
mari,husband
cause,cause
enfin,finally
eau,water
attendez,Wait
nouvelle,new
boulot,job
dirait,would say
terre,Earth
donne,given
loin,far
chérie,sweetheart
gros,large
aura,will have
filles,girls
bureau,office
